Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
011-390,11,"Electrical devices to be plugged into wall outlets having a heating element and which dispenses {indicate use, e.g., an insect repellent}",D,01-01-2020,GOODS,"On 01-01-2020, this 02-01-2003 entry was deleted in compliance with Nice 11-2020. This wording is no longer acceptable. ""Plug-in diffusers for mosquito repellents"" and ""aromatic oil diffusers, other than reed diffusers, electric and non-electric"" appear in the Nice Alphabetical List in Class 21. This entry was replaced by ""Plug-in diffusers for insect repellents"" in Class 21.",,"""11-2020"""
011-53,11,Electric vaporizers for household purposes,D,01-01-2020,GOODS,"On 01-01-2015, this 04-02-1991 entry was amended to add the wording ""for household purposes"" to clarify the nature of the goods. Vaporizers are classified according to their purpose or function. Consult the ID Manual for examples of vaporizers which are classified in other classes, such as ""Vaporizers for medical purposes"" in Class 10 or ""Oral vaporizers for smokers"" in Class 34. On 01-01-2020, this 04-02-1991 entry was deleted because it is overbroad in compliance with Nice 11-2020. This wording is no longer acceptable. This entry was replaced by ""Steam vaporizers for adding humidity to the air"" in Class 11. ""Vaporizers for medical purposes"" are in Class 10. ""Vaporizers for perfume sold empty"" and ""Vaporizers being electric aromatic oil diffusers"" are in Class 21. ""Oral vaporizers for smoking purposes"" are in Class 34.",,"""11-2020"""
011-309,11,Electric and battery operated aromatherapy units,D,01-01-2020,GOODS,"On 01-01-2020, this 06-01-2001 entry was deleted as misclassified in compliance with Nice 11-2020. This wording is no longer acceptable. It was replaced by ""Electric aromatherapy oil diffusers"" in Class 21.",,"""11-2020"""
011-4129,11,Electric dispensers for air fresheners,D,01-01-2020,GOODS,"On 01-01-2020, this 03-14-2019 entry was deleted as overbroad in compliance with Nice 11-2020. This wording is no longer acceptable. ""Air fresheners"" could include either air fragrancing or deodorizing preparations. ""Air deodorizing apparatus"" appears in the Nice Alphabetical List in Class 11, and ""Aromatic oil diffusers, other than reed diffusers, electric and non-electric"" appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4621,21,Candle warmers,A,01-01-2020,GOODS,"Candle warmers melt scented candles for the purpose of dispersing fragrance into the air without burning or lighting the wicks. ""Candle warmers, electric and non-electric"" appears in the Nice Alphabetical List in Class 21. Since the primary function of the warmers is to disperse fragrance, their function is analogous to ""perfume burners"" and ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which also appear in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4622,21,Electric candle warmers,A,01-01-2020,GOODS,"Candle warmers is acceptable wording; further specification is acceptable, but it is not required.",,"""11-2020"""
021-4625,21,Fragrance lamps sold empty,A,01-01-2020,GOODS,"Fragrance lamps sold empty are bottle-like vessels, often decorative, used to diffuse fragrance into the air. These goods are not used for lighting purposes, and are classified in Class 21 by analogy to ""perfume burners"" and ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appear in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4626,21,Non-electric aromatherapy diffusers for use in showers,A,01-01-2020,GOODS,"Non-electric aromatherapy diffusers for use in showers are containers for essential oils affixed to a bracket for attachment to shower heads. Water passes over the container and diffuses the oils. These goods are classified in Class 21 because they are ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
007-4350,7,Air diffusers for aquariums,A,01-01-2020,GOODS,"Air diffusers for aquariums attach to aquarium pumps and diffuse the pumped air into streams of bubbles. They are classified in Class 7 by analogy to ""aerating pumps for aquaria,"" which appears in the Nice Alphabetical List in Class 7.",,"""11-2020"""
007-4349,7,Air stones for aquariums,A,01-01-2020,GOODS,"Air stones for aquariums are air diffusers made of rock, or materials resembling rock, which attach to aquarium pumps and diffuse the pumped air into streams of bubbles. They are classified in Class 7 by analogy to ""aerating pumps for aquaria,"" which appears in the Nice Alphabetical List in Class 7.",,"""11-2020"""
007-4351,7,Air diffusers for hydroponics,A,01-01-2020,GOODS,"Air diffusers for hydroponics attach to electric pumps and diffuse the pumped air into streams of bubbles within hydroponic containers. They are classified in Class 7 by analogy to ""aerating pumps for aquaria,"" which appears in the Nice Alphabetical List in Class 7.",,"""11-2020"""
007-4352,7,Air pumps for hydroponics,A,01-01-2020,GOODS,,,"""11-2020"""
007-4353,7,Water pumps for hydroponics,A,01-01-2020,GOODS,,,"""11-2020"""
011-4151,11,Air diffusers being parts of refrigerators,A,01-01-2020,GOODS,,,"""11-2020"""
021-4627,21,Plug-in diffusers for insect repellents,A,01-01-2020,GOODS,"Plug-in diffusers for insect repellents are classified in Class 21 by analogy to ""Plug-in diffusers for mosquito repellents"" and ""electric devices for attracting and killing insects,"" which appear in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4629,21,Plug-in diffusers for air fragrances,A,01-01-2020,GOODS,"Plug-in diffusers for air fragrances are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4632,21,Vaporizers being electric aromatic oil diffusers,A,01-01-2020,GOODS,"Vaporizers being electric aromatic oil diffusers are classified in Class 21 because they are ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4633,21,Electric aromatherapy oil diffusers,A,01-01-2020,GOODS,"Electric aromatherapy oil diffusers are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4634,21,"Non-electric aromatic oil diffusers, other than reed diffusers",A,01-01-2020,GOODS,"Non-electric aromatic oil diffusers, other than reed diffusers are objects to which aromatic oils are added for diffusion into the air. Typically they are decorative objects made of porous materials such as terra cotta. They are classified in Class 21 because they are ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21. ""Air fragrance reed diffusers"" are in Class 3.",,"""11-2020"""
011-4153,11,Plug-in diffusers for air deodorizers,A,01-01-2020,GOODS,"Plug-in diffusers for air deodorizers are classified in Class 11 by analogy to ""Air deodorizing apparatus,"" which appears in the Nice Alphabetical List in Class 11. ""Plug-in diffusers for aromatic oils"" are in Class 21.",,"""11-2020"""
021-4635,21,Electric essential oil diffusers,A,01-01-2020,GOODS,"Electric essential oil diffusers are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4636,21,Ultrasonic essential oil diffusers,A,01-01-2020,GOODS,"Ultrasonic essential oil diffusers are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4638,21,Electric aromatherapy diffusers,A,01-01-2020,GOODS,"Electric aromatherapy diffusers are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
021-4640,21,Tea light essential oil diffusers,A,01-01-2020,GOODS,"Tea light essential oil diffusers, also spelled ""tealight essential oil diffusers,"" are classified in Class 21 because they function as ""aromatic oil diffusers, other than reed diffusers, electric and non-electric,"" which appears in the Nice Alphabetical List in Class 21, and by analogy to ""perfume burners,"" which also appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
